epoch,loss,lr,val_loss
0,0.7692856192588806,1e-04,0.7154399752616882
1,0.7399006485939026,1e-04,0.6997065544128418
2,0.7196369171142578,1e-04,0.6904192566871643
3,0.700261116027832,1e-04,0.6821610331535339
4,0.6900484561920166,1e-04,0.6752225756645203
5,0.680114209651947,1e-04,0.6685870289802551
6,0.6759433150291443,1e-04,0.6630529761314392
7,0.671328604221344,1e-04,0.6574258208274841
8,0.6702371835708618,1e-04,0.6510477066040039
9,0.6648229956626892,1e-04,0.6463686227798462
10,0.6631633639335632,1e-04,0.643716037273407
11,0.6609671115875244,1e-04,0.6422423124313354
12,0.6600361466407776,1e-04,0.6413215398788452
13,0.6586615443229675,1e-04,0.6419496536254883
14,0.660149097442627,1e-04,0.6418713331222534
15,0.6575310230255127,1e-04,0.6416540145874023
16,0.6568270325660706,1e-04,0.6395789980888367
17,0.658945620059967,1e-04,0.6368981003761292
18,0.6531026363372803,1e-04,0.6346840262413025
19,0.655224084854126,1e-04,0.6336025595664978
20,0.6519278883934021,1e-04,0.6323302388191223
21,0.6587290167808533,1e-04,0.630884051322937
22,0.6536136865615845,1e-04,0.6298739314079285
23,0.6557979583740234,1e-04,0.6293564438819885
24,0.656531035900116,1e-04,0.6290621161460876
25,0.65445876121521,1e-04,0.6289963722229004
26,0.657649040222168,1e-04,0.6287021040916443
27,0.6555622816085815,1e-04,0.6283671259880066
28,0.6554309129714966,1e-04,0.6284347772598267
29,0.6519129872322083,1e-04,0.6282839179039001
30,0.6525659561157227,1e-04,0.6281604766845703
31,0.653031587600708,1e-04,0.6276774406433105
32,0.6558980345726013,1e-04,0.6273394823074341
33,0.653268575668335,1e-04,0.6272155046463013
34,0.6564731001853943,1e-04,0.6272091269493103
35,0.6533933281898499,1e-04,0.6272150874137878
36,0.656809389591217,1e-04,0.6272479891777039
37,0.6569493412971497,1e-04,0.6272408366203308
38,0.6527818441390991,1e-04,0.6272112727165222
39,0.6579959392547607,1e-05,0.6271780729293823
40,0.6515087485313416,1e-05,0.6271564364433289
41,0.648550808429718,1e-05,0.6271262764930725
42,0.6561130285263062,1e-05,0.6270848512649536
43,0.6528785228729248,1e-05,0.6270651817321777
44,0.6565337777137756,1e-05,0.6270615458488464
45,0.6555813550949097,1e-05,0.6270664930343628
46,0.6518948674201965,1e-05,0.6270507574081421
47,0.6508240103721619,1e-05,0.6270318627357483
48,0.6533867120742798,1e-06,0.6270151734352112
49,0.6533800959587097,1e-06,0.6269994378089905
50,0.6525020003318787,1e-06,0.6269845366477966
51,0.6517150402069092,1e-06,0.6269723176956177
52,0.653056263923645,1e-06,0.6269606947898865
53,0.6540524363517761,1e-06,0.6269519925117493
54,0.6500429511070251,1e-06,0.6269448399543762
55,0.6537768840789795,1e-06,0.6269374489784241
56,0.6533505916595459,1e-07,0.626932680606842
57,0.6553223133087158,1e-07,0.6269286274909973
58,0.6554865837097168,1e-07,0.6269249320030212
59,0.6558473706245422,1e-07,0.6269219517707825
60,0.6480520963668823,1e-07,0.6269194483757019
61,0.6525983810424805,1e-07,0.6269177198410034
62,0.6506759524345398,1e-07,0.6269162893295288
63,0.6541289687156677,1e-07,0.6269152760505676
64,0.6532415151596069,1e-07,0.6269146800041199
65,0.6488456726074219,1e-07,0.6269141435623169
66,0.6540420055389404,1e-07,0.6269140839576721
67,0.6587135195732117,1e-07,0.6269142031669617
68,0.6513817310333252,1e-07,0.6269145607948303
69,0.6528486013412476,1e-07,0.626914918422699
70,0.6520980596542358,1e-07,0.6269150376319885
71,0.6526463627815247,1e-07,0.6269150972366333
72,0.6510010361671448,1e-07,0.6269153356552124
73,0.652268648147583,1e-07,0.6269158124923706
74,0.6525959372520447,1e-07,0.6269160509109497
75,0.6540094614028931,1e-07,0.6269165277481079
76,0.6525102853775024,1e-07,0.6269168853759766
77,0.6508980989456177,1e-07,0.6269171833992004
78,0.6533088684082031,1e-07,0.6269175410270691
79,0.6519659161567688,1e-07,0.6269178986549377
80,0.6525055170059204,1e-07,0.6269181370735168
81,0.653557538986206,1e-07,0.6269181966781616
82,0.6510461568832397,1e-07,0.6269183158874512
83,0.6531078219413757,1e-07,0.6269186735153198
84,0.6542981863021851,1e-07,0.6269190907478333
85,0.6517013907432556,1e-07,0.6269196271896362
86,0.651258111000061,1e-07,0.6269200444221497
